block,censuscode,district,dt_cen_cd,st_cen_cd,st_nm,bl_cen_cd
Falka,212,Katihar,10,10,Bihar,130
Korha,212,Katihar,10,10,Bihar,131
Hasanganj,212,Katihar,10,10,Bihar,132
Kadwa,212,Katihar,10,10,Bihar,133
Balrampur,212,Katihar,10,10,Bihar,134
Barsoi,212,Katihar,10,10,Bihar,135
Azamnagar,212,Katihar,10,10,Bihar,136
Pranpur,212,Katihar,10,10,Bihar,137
Dandkhora,212,Katihar,10,10,Bihar,138
Katihar,212,Katihar,10,10,Bihar,139
Mansahi,212,Katihar,10,10,Bihar,140
Barari,212,Katihar,10,10,Bihar,141
Sameli,212,Katihar,10,10,Bihar,142
Kursela,212,Katihar,10,10,Bihar,143
Manihari,212,Katihar,10,10,Bihar,144
Amdabad,212,Katihar,10,10,Bihar,145
Gamharia,213,Madhepura,11,10,Bihar,146
Singheshwar,213,Madhepura,11,10,Bihar,147
Ghailarh,213,Madhepura,11,10,Bihar,148
Madhepura,213,Madhepura,11,10,Bihar,149
Shankarpur,213,Madhepura,11,10,Bihar,150
Kumarkhand,213,Madhepura,11,10,Bihar,151
Murliganj,213,Madhepura,11,10,Bihar,152
Gwalpara,213,Madhepura,11,10,Bihar,153
Bihariganj,213,Madhepura,11,10,Bihar,154
Kishanganj,213,Madhepura,11,10,Bihar,155
Puraini,213,Madhepura,11,10,Bihar,156
Alamnagar,213,Madhepura,11,10,Bihar,157
Chausa,213,Madhepura,11,10,Bihar,158
Nauhatta,214,Saharsa,12,10,Bihar,159
Satar Kataiya,214,Saharsa,12,10,Bihar,160
Mahishi,214,Saharsa,12,10,Bihar,161
Kahara,214,Saharsa,12,10,Bihar,162
Saur Bazar,214,Saharsa,12,10,Bihar,163
Patarghat,214,Saharsa,12,10,Bihar,164
Sonbarsa,214,Saharsa,12,10,Bihar,165
Simri Bakhtiarpur,214,Saharsa,12,10,Bihar,166
Salkhua,214,Saharsa,12,10,Bihar,167
Banma Itahri,214,Saharsa,12,10,Bihar,168
Jale,215,Darbhanga,13,10,Bihar,169
Singhwara,215,Darbhanga,13,10,Bihar,170
Keotiranway,215,Darbhanga,13,10,Bihar,171
Darbhanga,215,Darbhanga,13,10,Bihar,172
Manigachhi,215,Darbhanga,13,10,Bihar,173
Tardih,215,Darbhanga,13,10,Bihar,174
Alinagar,215,Darbhanga,13,10,Bihar,175
Benipur,215,Darbhanga,13,10,Bihar,176
Bahadurpur,215,Darbhanga,13,10,Bihar,177
Hanumannagar,215,Darbhanga,13,10,Bihar,178
Hayaghat,215,Darbhanga,13,10,Bihar,179
Baheri,215,Darbhanga,13,10,Bihar,180
Biraul,215,Darbhanga,13,10,Bihar,181
Ghanshyampur,215,Darbhanga,13,10,Bihar,182
Kiratpur,215,Darbhanga,13,10,Bihar,183
Gora Bauram,215,Darbhanga,13,10,Bihar,184
Kusheshwar Asthan,215,Darbhanga,13,10,Bihar,185
Kusheshwar Asthan Purbi,215,Darbhanga,13,10,Bihar,186
Sahebganj,216,Muzaffarpur,14,10,Bihar,187
Baruraj (Motipur),216,Muzaffarpur,14,10,Bihar,188
Paroo,216,Muzaffarpur,14,10,Bihar,189
Saraiya,216,Muzaffarpur,14,10,Bihar,190
Marwan,216,Muzaffarpur,14,10,Bihar,191
Kanti,216,Muzaffarpur,14,10,Bihar,192
Minapur,216,Muzaffarpur,14,10,Bihar,193
Bochaha,216,Muzaffarpur,14,10,Bihar,194
Aurai,216,Muzaffarpur,14,10,Bihar,195
Katra,216,Muzaffarpur,14,10,Bihar,196
Gaighat,216,Muzaffarpur,14,10,Bihar,197
Bandra,216,Muzaffarpur,14,10,Bihar,198
Dholi (Moraul),216,Muzaffarpur,14,10,Bihar,199
Musahri,216,Muzaffarpur,14,10,Bihar,200
Kurhani,216,Muzaffarpur,14,10,Bihar,201
Sakra,216,Muzaffarpur,14,10,Bihar,202
Katiya,217,Gopalganj,15,10,Bihar,203
Bijaipur,217,Gopalganj,15,10,Bihar,204
Bhorey,217,Gopalganj,15,10,Bihar,205
Pach Deuri,217,Gopalganj,15,10,Bihar,206
Kuchaikote,217,Gopalganj,15,10,Bihar,207
Phulwaria,217,Gopalganj,15,10,Bihar,208
Hathua,217,Gopalganj,15,10,Bihar,209
Uchkagaon,217,Gopalganj,15,10,Bihar,210
Thawe,217,Gopalganj,15,10,Bihar,211
Gopalganj,217,Gopalganj,15,10,Bihar,212
Manjha,217,Gopalganj,15,10,Bihar,213
Barauli,217,Gopalganj,15,10,Bihar,214
Sidhwalia,217,Gopalganj,15,10,Bihar,215
Baikunthpur,217,Gopalganj,15,10,Bihar,216
Nautan,218,Siwan,16,10,Bihar,217
Siwan,218,Siwan,16,10,Bihar,218
Barharia,218,Siwan,16,10,Bihar,219
Goriakothi,218,Siwan,16,10,Bihar,220
Lakri Nabiganj,218,Siwan,16,10,Bihar,221
Basantpur,218,Siwan,16,10,Bihar,222
Bhagwanpur Hat,218,Siwan,16,10,Bihar,223
Maharajganj,218,Siwan,16,10,Bihar,224
Pachrukhi,218,Siwan,16,10,Bihar,225
Hussainganj,218,Siwan,16,10,Bihar,226
Ziradei,218,Siwan,16,10,Bihar,227
Mairwa,218,Siwan,16,10,Bihar,228
Guthani,218,Siwan,16,10,Bihar,229
Darauli,218,Siwan,16,10,Bihar,230
Andar,218,Siwan,16,10,Bihar,231
Raghunathpur,218,Siwan,16,10,Bihar,232
Hasanpura,218,Siwan,16,10,Bihar,233
Daraundha,218,Siwan,16,10,Bihar,234
Siswan,218,Siwan,16,10,Bihar,235
Mashrakh,219,Saran,17,10,Bihar,236
Panapur,219,Saran,17,10,Bihar,237
Taraiya,219,Saran,17,10,Bihar,238
Ishupur,219,Saran,17,10,Bihar,239
Baniapur,219,Saran,17,10,Bihar,240
Lahladpur,219,Saran,17,10,Bihar,241
Ekma,219,Saran,17,10,Bihar,242
Manjhi,219,Saran,17,10,Bihar,243
Jalalpur,219,Saran,17,10,Bihar,244
Revelganj,219,Saran,17,10,Bihar,245
Chapra,219,Saran,17,10,Bihar,246
Nagra,219,Saran,17,10,Bihar,247
Marhaura,219,Saran,17,10,Bihar,248
Amnour,219,Saran,17,10,Bihar,249
Maker,219,Saran,17,10,Bihar,250
Parsa,219,Saran,17,10,Bihar,251
Dariapur,219,Saran,17,10,Bihar,252
Garkha,219,Saran,17,10,Bihar,253
Dighwara,219,Saran,17,10,Bihar,254
Sonepur,219,Saran,17,10,Bihar,255
Vaishali,220,Vaishali,18,10,Bihar,256
Paterhi Belsar,220,Vaishali,18,10,Bihar,257
Lalganj,220,Vaishali,18,10,Bihar,258
Bhagwanpur,220,Vaishali,18,10,Bihar,259
Goraul,220,Vaishali,18,10,Bihar,260
Chehra Kalan,220,Vaishali,18,10,Bihar,261
Patepur,220,Vaishali,18,10,Bihar,262
Mahua,220,Vaishali,18,10,Bihar,263
Jandaha,220,Vaishali,18,10,Bihar,264
Raja Pakar,220,Vaishali,18,10,Bihar,265
Hajipur,220,Vaishali,18,10,Bihar,266
Raghopur,220,Vaishali,18,10,Bihar,267
Bidupur,220,Vaishali,18,10,Bihar,268
Desri,220,Vaishali,18,10,Bihar,269
Sahdai Buzurg,220,Vaishali,18,10,Bihar,270
Mahnar,220,Vaishali,18,10,Bihar,271
Kalyanpur,221,Samastipur,19,10,Bihar,272
Warisnagar,221,Samastipur,19,10,Bihar,273
Shivaji Nagar,221,Samastipur,19,10,Bihar,274
Khanpur,221,Samastipur,19,10,Bihar,275
Samastipur,221,Samastipur,19,10,Bihar,276
Pusa,221,Samastipur,19,10,Bihar,277
Tajpur,221,Samastipur,19,10,Bihar,278
Morwa,221,Samastipur,19,10,Bihar,279
Patori,221,Samastipur,19,10,Bihar,280
Mohanpur,221,Samastipur,19,10,Bihar,281
Mohiuddinagar,221,Samastipur,19,10,Bihar,282
Sarairanjan,221,Samastipur,19,10,Bihar,283
Vidyapati Nagar,221,Samastipur,19,10,Bihar,284
Dalsinghsarai,221,Samastipur,19,10,Bihar,285
Ujiarpur,221,Samastipur,19,10,Bihar,286
Bibhutpur,221,Samastipur,19,10,Bihar,287
