DIST_NAME,PERIMETER,INDIAASSEM,INDIAASS,ST_CODE,AC_NAME,AC_TYPE,PC_NO,ac_no,Longitude,Latitude,State,PC_NAME,PC_TYPE,PC_CODE
Rajkot,0.314,2426,6016,S06,Jasdan,GEN,4,16,71.214916537,22.0731756662,Gujarat,Rajkot,GEN,S0604
Vadodara,0.141,2429,6144,S06,Sankheda,ST,21,144,73.6700205041,22.163805531,Gujarat,Chhota Udaipur,ST,S0621
Vadodara,0.006,2433,6148,S06,Sayajiganj,GEN,22,148,73.2189202929,22.2901811975,Gujarat,Baroda,GEN,S0622
Vadodara,0.015,2435,6149,S06,Raopura,GEN,22,149,73.2424047029,22.2863538153,Gujarat,Baroda,GEN,S0622
Vadodara,0.015,2438,6147,S06,Baroda City,GEN,22,147,73.2696112879,22.2833629888,Gujarat,Baroda,GEN,S0622
Vadodara,0.115,2442,6152,S06,Padra,GEN,22,152,73.0268689589,22.1713470775,Gujarat,Baroda,GEN,S0622
Vadodara,0.146,2455,6145,S06,Dabhoi,GEN,21,145,73.4147247983,22.0969981561,Gujarat,Chhota Udaipur,ST,S0621
Rajkot,0.192,2457,6020,S06,Gondal,GEN,4,20,70.7921837607,21.9109043031,Gujarat,Rajkot,GEN,S0604
Bharuch,0.175,2458,6154,S06,Jambusar,GEN,23,154,72.741064089,22.0657041352,Gujarat,Broach,GEN,S0623
Rajkot,0.153,2469,6022,S06,Dhoraji,GEN,5,22,70.4125036301,21.8380666886,Gujarat,Porbandar,GEN,S0605
Bhavnagar,0.21,2470,6050,S06,Gadhada,SC,9,50,71.6164974887,21.8913773797,Gujarat,Dhandhuka,SC,S0609
Bhavnagar,0.182,2475,6058,S06,Bhavnagar South,GEN,8,58,72.0661071036,21.9019943752,Gujarat,Bhavnagar,GEN,S0608
Porbandar,0.175,2479,6032,S06,Porbandar,GEN,5,32,69.5332146264,21.7848954374,Gujarat,Porbandar,GEN,S0605
Amreli,0.265,2483,6043,S06,Babra,GEN,7,43,71.1186613443,21.7878171354,Gujarat,Amreli,GEN,S0607
Rajkot,0.162,2484,6023,S06,Upleta,GEN,5,23,70.2119438923,21.7509391407,Gujarat,Porbandar,GEN,S0605
Vadodara,0.179,2485,6153,S06,Karjan,SC,21,153,73.223384143,21.9677060798,Gujarat,Chhota Udaipur,ST,S0621
Rajkot,0.141,2489,6021,S06,Jetpur,GEN,4,21,70.6432525424,21.7627165444,Gujarat,Rajkot,GEN,S0604
Vadodara,0.186,2496,6143,S06,Nasvadi,ST,21,143,73.8921092078,21.9775752208,Gujarat,Chhota Udaipur,ST,S0621
Bharuch,0.206,2499,6155,S06,Vagra,GEN,23,155,72.8440034515,21.8195909512,Gujarat,Broach,GEN,S0623
Porbandar,0.233,2512,6033,S06,Kutiyana,GEN,5,33,69.8255294847,21.6285927808,Gujarat,Porbandar,GEN,S0605
Narmada,0.191,2518,6160,S06,Rajpipla,ST,21,160,73.6154846205,21.8294021373,Gujarat,Chhota Udaipur,ST,S0621
Bharuch,0.077,2526,6156,S06,Broach,GEN,23,156,73.0862218665,21.7886054577,Gujarat,Broach,GEN,S0623
Bharuch,0.19,2527,6158,S06,Jhagadia,ST,23,158,73.2646282197,21.6676479156,Gujarat,Broach,GEN,S0623
Amreli,0.137,2528,6044,S06,Lathi,GEN,7,44,71.411728048,21.6312537544,Gujarat,Amreli,GEN,S0607
Amreli,0.153,2533,6045,S06,Amreli,GEN,7,45,71.1586257696,21.5826044601,Gujarat,Amreli,GEN,S0607
Bhavnagar,0.222,2535,6052,S06,Sihor,GEN,8,52,71.8186178252,21.6420551944,Gujarat,Bhavnagar,GEN,S0608
Bhavnagar,0.03,2539,6057,S06,Bhavnagar North,GEN,8,57,72.1414450421,21.7635080671,Gujarat,Bhavnagar,GEN,S0608
Junagadh,0.156,2542,6035,S06,Manavadar,GEN,5,35,70.1392379961,21.4810924602,Gujarat,Porbandar,GEN,S0605
Junagadh,0.095,2551,6042,S06,Junagadh,GEN,6,42,70.464875034,21.5350187152,Gujarat,Junagadh,GEN,S0606
Narmada,0.244,2552,6159,S06,Dediapada,ST,23,159,73.6534023708,21.5708616388,Gujarat,Broach,GEN,S0623
Bhavnagar,0.201,2556,6056,S06,Ghogho,GEN,8,56,72.1060677384,21.5174496053,Gujarat,Bhavnagar,GEN,S0608
Junagadh,0.237,2557,6040,S06,Visavadar,GEN,6,40,70.7235684359,21.3915110477,Gujarat,Junagadh,GEN,S0606
Bhavnagar,0.185,2560,6051,S06,Palitana,GEN,8,51,71.7354759048,21.4902095415,Gujarat,Bhavnagar,GEN,S0608
Amreli,0.222,2563,6046,S06,Dhari,GEN,7,46,70.999981731,21.3326866969,Gujarat,Amreli,GEN,S0607
Porbandar,0.19,2564,6034,S06,Mangrol,GEN,5,34,69.9568848811,21.2794092544,Gujarat,Porbandar,GEN,S0605
Bharuch,0.149,2571,6157,S06,Ankleshwar,GEN,23,157,72.9223025106,21.5567266411,Gujarat,Broach,GEN,S0623
Junagadh,0.159,2574,6036,S06,Keshod,SC,6,36,70.2263298744,21.3023875791,Gujarat,Junagadh,GEN,S0606
Junagadh,0.225,2582,6041,S06,Maliya,GEN,6,41,70.4091416401,21.2274362257,Gujarat,Junagadh,GEN,S0606
Surat,0.244,2585,6162,S06,Mangrol,ST,23,162,73.2714511397,21.4231833266,Gujarat,Broach,GEN,S0623
Bhavnagar,0.138,2589,6053,S06,Kundla,GEN,7,53,71.3716746863,21.2928775247,Gujarat,Amreli,GEN,S0607
Nandurbar,0.22,2592,6161,S06,Nijhar,ST,25,161,73.8528125244,21.2385937479,Gujarat,Nandurbar,ST,S1315
Surat,0.154,2600,6168,S06,Olpad,GEN,24,168,72.7649659589,21.3035893207,Gujarat,Surat,GEN,S0624
Bhavnagar,0.163,2602,6055,S06,Talaja,GEN,8,55,71.8943676533,21.2504389472,Gujarat,Bhavnagar,GEN,S0608
