ac_name,ac_no,dist_name,dt_code,pc_id,pc_name,pc_no,st_code,st_name
Asarwa,56,AHMADABAD,7,2408,AHMEDABAD WEST(SC),8,24,GUJARAT
Bayad,32,SABAR KANTHA,05,2405,SABARKANTHA,5,24,GUJARAT
Dahegam,34,GANDHINAGAR,06,2407,AHMEDABAD EAST,7,24,GUJARAT
Dariyapur,51,AHMADABAD,7,2408,AHMEDABAD WEST(SC),8,24,GUJARAT
Mandvi,2,KACHCHH,01,2401,KACHCHH (SC),1,24,GUJARAT
Santrampur,123,PANCH MAHALS,17,2419,DAHOD (ST),19,24,GUJARAT
Dhrangadhra,64,SURENDRANAGAR,08,2409,SURENDRANAGAR,9,24,GUJARAT
Morbi,65,RAJKOT,09,2401,KACHCHH (SC),1,24,GUJARAT
Fatepura (ST),129,DOHAD  *,18,2419,DAHOD (ST),19,24,GUJARAT
Danilimda,54,AHMADABAD,7,2408,AHMEDABAD WEST(SC),8,24,GUJARAT
,0,KACHCHH,01,2400,,0,24,GUJARAT
Thakkar Bapanagar,48,AHMADABAD,7,2407,AHMEDABAD EAST,7,24,GUJARAT
Kalol,38,GANDHINAGAR,06,2406,GANDHINAGAR,6,24,GUJARAT
Nikol,46,AHMADABAD,7,2407,AHMEDABAD EAST,7,24,GUJARAT
Balasinor,121,KHEDA,16,2418,PANCHMAHAL,18,24,GUJARAT
Bapunagar,49,AHMADABAD,7,2407,AHMEDABAD EAST,7,24,GUJARAT
Sanand,40,AHMADABAD,07,2406,GANDHINAGAR,6,24,GUJARAT
Wadhwan,62,SURENDRANAGAR,08,2409,SURENDRANAGAR,9,24,GUJARAT
Maninagar,53,AHMADABAD,7,2408,AHMEDABAD WEST(SC),8,24,GUJARAT
Daskroi,57,AHMADABAD,07,2417,KHEDA,17,24,GUJARAT
Kalavad (SC),76,JAMNAGAR,10,2412,JAMNAGAR,12,24,GUJARAT
Wankaner,67,RAJKOT,09,2410,RAJKOT,10,24,GUJARAT
Jamnagar,77,JAMNAGAR,10,2412,JAMNAGAR,12,24,GUJARAT
Shehra,124,PANCH MAHALS,17,2418,PANCHMAHAL,18,24,GUJARAT
Limkheda (ST),131,DOHAD  *,18,2419,DAHOD (ST),19,24,GUJARAT
Chotila,63,SURENDRANAGAR,08,2409,SURENDRANAGAR,9,24,GUJARAT
Mehmedabad,117,KHEDA,16,2417,KHEDA,17,24,GUJARAT
Thasra,119,KHEDA,16,2418,PANCHMAHAL,18,24,GUJARAT
Dholka,58,AHMADABAD,07,2417,KHEDA,17,24,GUJARAT
Dahod (ST),132,DOHAD  *,18,2419,DAHOD (ST),19,24,GUJARAT
Mahudha,118,KHEDA,16,2417,KHEDA,17,24,GUJARAT
Godhra,126,PANCH MAHALS,17,2418,PANCHMAHAL,18,24,GUJARAT
Matar,115,KHEDA,16,2417,KHEDA,17,24,GUJARAT
Devgadhbaria,134,DOHAD  *,18,2419,DAHOD (ST),19,24,GUJARAT
Limbdi,61,SURENDRANAGAR,08,2409,SURENDRANAGAR,9,24,GUJARAT
Kalol,127,PANCH MAHALS,17,2418,PANCHMAHAL,18,24,GUJARAT
Dwarka,82,JAMNAGAR,10,2412,JAMNAGAR,12,24,GUJARAT
Garbada (ST),133,DOHAD  *,18,2419,DAHOD (ST),19,24,GUJARAT
Umreth,111,ANAND  *,15,2416,ANAND,16,24,GUJARAT
Nadiad,116,KHEDA,16,2417,KHEDA,17,24,GUJARAT
Jamnagar North,78,JAMNAGAR,10,2412,JAMNAGAR,12,24,GUJARAT
Khambhalia,81,JAMNAGAR,10,2412,JAMNAGAR,12,24,GUJARAT
Sojitra,114,ANAND  *,15,2416,ANAND,16,24,GUJARAT
Jamjodhpur,80,JAMNAGAR,10,2412,JAMNAGAR,12,24,GUJARAT
Petlad,113,ANAND  *,15,2416,ANAND,16,24,GUJARAT
Chhota Udaipur (ST,137,VADODARA,19,2421,CHHOTA UDAIPUR(ST),21,24,GUJARAT
Dhandhuka,59,AHMADABAD,07,2409,SURENDRANAGAR,9,24,GUJARAT
Anklav,110,ANAND  *,15,2416,ANAND,16,24,GUJARAT
Halol,128,PANCH MAHALS,17,2421,CHHOTA UDAIPUR(ST),21,24,GUJARAT
